LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1652212,1652212,145,76.78096008300781,923.5277208286725,125.5145306630428,0.0,45.0,45,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1650103,1650103,145,79.3724365234375,912.6432826372861,114.46972777982404,0.0,26.0,26,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1653495,1653495,145,81.41670227050781,922.0567044987401,140.61530141577697,0.0,54.0,54,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1649963,1649963,145,80.75727081298828,913.098322458729,129.39976364693203,0.0,32.0,32,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9210245464247598,1.5541772830108633
ID1649135,1649135,145,81.70991516113281,914.9170126616795,115.18435731609306,0.0,25.0,25,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9719378081152824,1.4949132043585291
ID1650798,1650798,145,81.48966979980469,914.7376713624279,126.582165801313,0.0,36.0,36,3.0,1,,199.86486486486487,255.0,0.0,255.0,7395.0,106.4221578228692,0.9262703420790435,1.8061545527463414
ID1648288,1648288,145,78.71299743652344,927.4098961770242,128.47818891725,0.0,22.0,22,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.918111398008115,1.4517514497262503
ID1649824,1649824,145,79.0062255859375,915.6850665868336,120.4091643877252,0.0,27.0,27,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1650661,1650661,145,77.95240020751953,914.2099597785138,132.49161544874985,0.0,35.0,35,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9115890083632019,1.2782590730349843
ID1652773,1652773,145,79.19141387939453,926.2368197029059,131.4223288514298,0.0,50.0,50,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1653349,1653349,145,77.25518798828125,921.65096838024,142.76660927142348,0.0,55.0,55,3.0,1,,151.6216216216216,255.0,0.0,255.0,5610.0,126.9243762927252,0.9669199821189091,1.1744916616948213
ID1652071,1652071,145,79.95887756347656,922.6209946604581,124.95553079682519,0.0,43.0,43,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,1.0,1.2643004383672407
ID1651366,1651366,145,81.41670227050781,925.3932871252779,124.87726593601386,0.0,44.0,44,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1651416,1651416,146,79.40336608886719,1324.1998603539962,566.5529910893227,0.0,44.0,44,3.0,1,,220.54054054054055,255.0,0.0,255.0,8160.0,88.37879163470616,0.8502457357617809,2.293429642920626
ID1653400,1653400,146,82.44231414794922,1337.0744358054799,570.7973318311996,0.0,55.0,55,3.0,1,,192.97297297297297,255.0,0.0,255.0,7140.0,110.91450323121413,0.9739161085653859,1.7168446634613168
ID1652122,1652122,146,81.41670227050781,1323.8521941395568,573.62947023151,0.0,43.0,43,3.0,1,,192.97297297297297,255.0,0.0,255.0,7140.0,110.91450323121413,0.9485038274182325,1.6938539821192726
ID1650718,1650718,146,80.15796661376953,1320.370759588143,584.8543215290471,0.0,35.0,35,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9210245464247598,1.5541772830108633
ID1651281,1651281,146,80.10205078125,1326.469234622335,583.6717610793304,0.0,38.0,38,3.0,1,,192.97297297297297,255.0,0.0,255.0,7140.0,110.91450323121413,0.8995929443690639,1.6478726194351838
ID1649878,1649878,146,80.77091217041016,1317.7173592451495,573.0967579011095,0.0,27.0,27,3.0,1,,206.75675675675674,255.0,0.0,255.0,7650.0,101.25062562369277,0.9059720457433292,1.9412893060757763
ID1652822,1652822,146,79.98981475830078,1331.613964337419,569.4822376999102,0.0,50.0,50,3.0,1,,199.86486486486487,255.0,0.0,255.0,7395.0,106.4221578228692,0.880064829821718,1.7582322017591672
ID1649608,1649608,146,81.30866241455078,1315.0401739132215,580.8115142898847,0.0,29.0,29,3.0,1,,206.75675675675674,255.0,0.0,255.0,7650.0,101.25062562369277,0.9286403085824493,1.966474335642678
ID1650570,1650570,146,80.94246673583984,1320.3860940801967,572.7848636889163,0.0,28.0,28,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9210245464247598,1.5541772830108633
